Country,j_soldtocustomercode,Customer_Name,SalesRep_Code,yearmonth,Customer_MTD,UserKey_4Map,Customer_QTD,Customer_Total_MTD,Customer_Total_QTD,Customer_Max_MTD,Customer_Max_QTD,Customer_Percent_MTD,Customer_Percent_QTD,Manager_Id
TW,30078344,財團法人私立高雄醫學大學附設中和紀念醫院,BJZ3,2024-08-01,52735.0,TW_BJZ3,166729.0,363251.0,850200.0,55420.0,166729.0,0.9515517863587152,1.0,0055h000006NBt3AAG
TW,30078462,高雄榮民總醫院,BJZ3,2024-08-01,55420.0,TW_BJZ3,161021.0,363251.0,850200.0,55420.0,166729.0,1.0,0.9657648039633178,0055h000006NBt3AAG
TW,30121454,義大醫療財團法人義大大昌醫院,BJZ3,2024-08-01,24201.0,TW_BJZ3,92392.0,363251.0,850200.0,55420.0,166729.0,0.4366835077589318,0.554144749863551,0055h000006NBt3AAG
TW,30078406,高雄市立聯合醫院,BJZ3,2024-08-01,41595.0,TW_BJZ3,84821.0,363251.0,850200.0,55420.0,166729.0,0.7505413208228077,0.5087357328359193,0055h000006NBt3AAG
TW,30078437,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營）,BJZ3,2024-08-01,4362.0,TW_BJZ3,72679.0,363251.0,850200.0,55420.0,166729.0,0.0787080476362324,0.4359109692974827,0055h000006NBt3AAG
TW,30078780,輔英科技大學附設醫院,BJZ3,2024-08-01,22029.0,TW_BJZ3,49435.0,363251.0,850200.0,55420.0,166729.0,0.3974918801876579,0.2964991093331094,0055h000006NBt3AAG
TW,30078654,寶建醫療社團法人寶建醫院,BJZ3,2024-08-01,20811.0,TW_BJZ3,47411.0,363251.0,850200.0,55420.0,166729.0,0.3755142547816673,0.2843596494910903,0055h000006NBt3AAG
TW,30087620,建佑醫院,BJZ3,2024-08-01,19866.0,TW_BJZ3,42150.0,363251.0,850200.0,55420.0,166729.0,0.3584626488632262,0.2528054507614152,0055h000006NBt3AAG
TW,30445621,屏東榮民總醫院,BJZ3,2024-08-01,9076.0,TW_BJZ3,36373.0,363251.0,850200.0,55420.0,166729.0,0.1637675929267412,0.2181564095028459,0055h000006NBt3AAG
TW,30078455,國軍左營總醫院附設民眾診療服務處,BJZ3,2024-08-01,2772.0,TW_BJZ3,33294.0,363251.0,850200.0,55420.0,166729.0,0.0500180440274269,0.1996893161957428,0055h000006NBt3AAG
TW,30078600,高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,BJZ3,2024-08-01,3132.0,TW_BJZ3,31594.0,363251.0,850200.0,55420.0,166729.0,0.0565138939011187,0.1894931295695409,0055h000006NBt3AAG
TW,30085181,南門醫療社團法人南門醫院,BJZ3,2024-08-01,26587.0,TW_BJZ3,30827.0,363251.0,850200.0,55420.0,166729.0,0.4797365571995669,0.1848928500740723,0055h000006NBt3AAG
TW,30355386,博田國際醫院,BJZ3,2024-08-01,9320.0,TW_BJZ3,27160.0,363251.0,850200.0,55420.0,166729.0,0.1681703356189101,0.1628990757456711,0055h000006NBt3AAG
TW,30078659,枋寮醫療社團法人枋寮醫院,BJZ3,2024-08-01,4404.0,TW_BJZ3,26339.0,363251.0,850200.0,55420.0,166729.0,0.0794658967881631,0.1579749173808995,0055h000006NBt3AAG
TW,30078400,衛生福利部屏東醫院,BJZ3,2024-08-01,9287.0,TW_BJZ3,22854.0,363251.0,850200.0,55420.0,166729.0,0.1675748827138217,0.1370727347971858,0055h000006NBt3AAG
TW,30078601,安泰醫療社團法人安泰醫院,BJZ3,2024-08-01,8437.0,TW_BJZ3,19911.0,363251.0,850200.0,55420.0,166729.0,0.1522374594009383,0.1194213364201788,0055h000006NBt3AAG
TW,30091387,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,BJZ3,2024-08-01,10883.0,TW_BJZ3,19286.0,363251.0,850200.0,55420.0,166729.0,0.1963731504871887,0.1156727383958399,0055h000006NBt3AAG
TW,30086349,柏仁醫院,BJZ3,2024-08-01,10191.0,TW_BJZ3,10191.0,363251.0,850200.0,55420.0,166729.0,0.1838866835077589,0.0611231399456603,0055h000006NBt3AAG
TW,30078705,高雄市立旗津醫院委託財團法人私立高雄醫學大學經營,BJZ3,2024-08-01,6072.0,TW_BJZ3,9829.0,363251.0,850200.0,55420.0,166729.0,0.1095633345362685,0.0589519519699632,0055h000006NBt3AAG
TW,30084704,屏東榮民總醫院,BJZ3,2024-08-01,1591.0,TW_BJZ3,8832.0,363251.0,850200.0,55420.0,166729.0,0.0287080476362324,0.0529721884015378,0055h000006NBt3AAG
TW,30309613,天主教靈醫會醫療財團法人惠民醫院,BJZ3,2024-08-01,5510.0,TW_BJZ3,7225.0,363251.0,850200.0,55420.0,166729.0,0.0994225911223385,0.0433337931613576,0055h000006NBt3AAG
TW,30078535,恆基醫療財團法人恆春基督教醫院,BJZ3,2024-08-01,3887.0,TW_BJZ3,5560.0,363251.0,850200.0,55420.0,166729.0,0.0701371346084446,0.0333475280245188,0055h000006NBt3AAG
TW,30078538,屏基醫療財團法人屏東基督教醫院,BJZ3,2024-08-01,11083.0,TW_BJZ3,-201920.0,363251.0,850200.0,55420.0,166729.0,0.199981955972573,0.0,0055h000006NBt3AAG
TW,30086932,義大醫療財團法人義大醫院,BJZ2,2024-08-01,122188.0,TW_BJZ2,306342.0,737774.0,-391642.0,155895.0,306342.0,0.7837839571506463,1.0,0055h000006NBt3AAG
TW,30078652,阮綜合醫療社團法人阮綜合醫院,BJZ2,2024-08-01,143849.0,TW_BJZ2,222767.0,737774.0,-391642.0,155895.0,306342.0,0.9227300426569164,0.7271839969707059,0055h000006NBt3AAG
TW,30103729,義大醫療財團法人義大癌治療醫院,BJZ2,2024-08-01,108516.0,TW_BJZ2,197830.0,737774.0,-391642.0,155895.0,306342.0,0.696083902626768,0.6457815121661411,0055h000006NBt3AAG
TW,30083844,健仁醫院,BJZ2,2024-08-01,82443.0,TW_BJZ2,128726.0,737774.0,-391642.0,155895.0,306342.0,0.5288367170210718,0.4202035633377075,0055h000006NBt3AAG
TW,30078408,高雄市立凱旋醫院,BJZ2,2024-08-01,14180.0,TW_BJZ2,81785.0,737774.0,-391642.0,155895.0,306342.0,0.0909586580711376,0.266972860397856,0055h000006NBt3AAG
